epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5084,3.07795,85.0153,0.74122,0.00021,0.0625,3e-05,1e-05,4.22982,24.7186,0.96421,0.00012,0.00012,0.00012
2,71.2135,3.78973,35.9734,0.84089,0.00021,0.0625,4e-05,2e-05,4.11614,14.8453,0.91575,0.000254852,0.000254852,0.000254852
3,102.423,4.61203,22.9186,0.85058,0,0,0,0,4.35468,14.9725,0.8804,0.00038416,0.00038416,0.00038416
4,132.487,4.13595,19.44,0.84805,0,0,0,0,4.17173,17.229,0.87746,0.000507924,0.000507924,0.000507924
5,163.408,3.99074,18.4823,0.7741,0,0,0,0,4.00343,24.8378,0.95672,0.000626144,0.000626144,0.000626144
6,192.667,4.2918,15.003,0.8174,0,0,0,0,3.83336,14.4307,0.83678,0.00073882,0.00073882,0.00073882
7,223.647,3.78585,12.8414,0.72059,0,0,0,0,4.45919,14.3743,0.91002,0.000845952,0.000845952,0.000845952
8,259.176,3.97661,12.5025,0.7415,0,0,0,0,4.23103,11.7544,0.83685,0.00094754,0.00094754,0.00094754
9,297.138,4.07827,11.9465,0.7864,0.00021,0.0625,1e-05,0,4.04182,10.5117,0.81412,0.00104358,0.00104358,0.00104358
10,334.52,4.07224,11.295,0.74465,0.00063,0.1875,0.00026,5e-05,3.68681,9.51224,0.77284,0.00113408,0.00113408,0.00113408
11,372.372,3.84843,11.4668,0.68933,0.00083,0.25,0.00622,0.00358,3.7927,9.16124,0.80765,0.00121904,0.00121904,0.00121904
12,418.249,3.89424,9.45157,0.7442,0.00104,0.3125,0.01351,0.00287,3.89098,9.13943,0.80844,0.00129845,0.00129845,0.00129845
13,462.823,4.25221,9.15009,0.72056,0.15053,0.1875,0.04709,0.00985,3.92466,8.53857,0.78016,0.00137232,0.00137232,0.00137232
14,518.496,3.95352,9.02757,0.73343,0.00125,0.375,0.0977,0.03576,3.83335,7.77009,0.75005,0.00144064,0.00144064,0.00144064
15,560.511,3.7575,9.19259,0.69327,0.24054,0.1875,0.144,0.02457,4.07938,7.63146,0.82041,0.0014456,0.0014456,0.0014456
16,601.413,3.80074,8.39327,0.67599,0.00083,0.25,0.06696,0.01324,4.15931,7.76499,0.834,0.001406,0.001406,0.001406
17,645.057,4.04253,8.70717,0.74954,0.10537,0.125,0.12526,0.02556,4.04051,7.53524,0.8075,0.0013664,0.0013664,0.0013664
18,691.062,3.58506,7.47786,0.69029,0.71992,0.1875,0.18615,0.0589,3.84416,6.35862,0.7851,0.0013268,0.0013268,0.0013268
19,748.128,3.94708,7.77516,0.71697,0.73978,0.1875,0.24277,0.06561,3.83919,6.38967,0.7772,0.0012872,0.0012872,0.0012872
20,798.808,3.67303,7.10694,0.76909,0.21341,0.3125,0.13955,0.0294,4.16755,5.9647,0.76057,0.0012476,0.0012476,0.0012476
